timestamp_deteccion,connector_id,operator_name,estado_anterior,estado_nuevo,api_last_updated,power_type,max_electric_power,standard,location_name,operador_agrupado,tramo_potencia,commune,region
2026-09-03T23:45:56+00:00,972,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-08-12T18:05:20.671330+00:00,DC,120,CCS 2,Enex E-Pro Shell Pablo Neruda Temuco,Enerlink,(50-150],Temuco,La Araucanía,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:46:52+00:00,8610,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-03T23:45:53.716102+00:00,DC,240,CCS 2,SAVE VOLTEX BILBAO EDS 60419,Copec Voltex,150,Providencia,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:46:52+00:00,8158,ENEL X,OCUPADO,DISPONIBLE,2026-09-03T23:45:42.487679+00:00,DC,60,CCS 2,IRVE Tottus Catedral,Enel,(50-150],Santiago,Metropolitana,Enel,Enel
2026-09-03T23:46:52+00:00,7473,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-03T23:46:00.106085+00:00,DC,240,CCS 2,COPEC VOLTEX EDS 60711 - MACUL,Copec Voltex,150,Macul,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:46:52+00:00,1006,ENEL X,OCUPADO,DISPONIBLE,2026-09-03T23:45:28.584041+00:00,DC,60,CCS 2,Enel X Way - Petrobras Rotonda Atenas,Enel,(50-150],Las Condes,Metropolitana,Enel,Enel
2026-09-03T23:46:52+00:00,9382,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:45:56.556472+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60079 - COSTANERA NORTE KM 2,Copec Voltex,150,Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:46:52+00:00,241,COPEC VOLTEX,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:46:00.520086+00:00,DC,50,CHAdeMO,"COPEC Los Angeles Ruta 5 km 518,5 - lado poniente",Copec Voltex,(22-50],Los Ángeles,Biobío,Copec Voltex,Copec Voltex
2026-09-03T23:47:54+00:00,720,ENEL X,OCUPADO,DISPONIBLE,2026-09-03T23:47:11.311151+00:00,DC,60,CCS 2,Enel X Way - Tottus Vivaceta,Enel,(50-150],Independencia,Metropolitana,Enel,Enel
2026-09-03T23:47:54+00:00,607,ENEL X,DISPONIBLE,OCUPADO,2026-09-03T23:46:48.990874+00:00,DC,60,CCS 2,Enel X WAY - Espacio Urbano Antofagasta,Enel,(50-150],Antofagasta,Antofagasta,Enel,Enel
2026-09-03T23:47:54+00:00,12,COPEC VOLTEX,OCUPADO,FUERA DE LINEA,2026-09-03T23:47:01.075002+00:00,DC,50,CCS 2,COPEC Santo Domingo,Copec Voltex,(22-50],Santo Domingo,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:47:54+00:00,505,ENEL X,FUERA DE LINEA,DISPONIBLE,2026-09-03T23:47:01.543428+00:00,AC,22,Tipo 2,Estación de Servicio Enel X Station,Enel,(7-22],Pudahuel,Metropolitana,Enel,Enel
2026-09-03T23:48:57+00:00,7360,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:47:33.563429+00:00,DC,240,CCS 2,COPEC VOLTEX EDS 60220 - ALBERTO LLONA,Copec Voltex,150,Maipú,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:48:57+00:00,9,COPEC VOLTEX,FUERA DE LINEA,DISPONIBLE,2026-09-03T23:48:04.739901+00:00,DC,50,CHAdeMO,COPEC Llay Llay,Copec Voltex,(22-50],Llaillay,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:48:57+00:00,505,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:48:13.524421+00:00,AC,22,Tipo 2,Estación de Servicio Enel X Station,Enel,(7-22],Pudahuel,Metropolitana,Enel,Enel
2026-09-03T23:48:57+00:00,12,COPEC VOLTEX,FUERA DE LINEA,DISPONIBLE,2026-09-03T23:48:00.268145+00:00,DC,50,CCS 2,COPEC Santo Domingo,Copec Voltex,(22-50],Santo Domingo,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:48:57+00:00,7318,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:48:14.739768+00:00,DC,180,CCS 2,Estacion de Servicio Copec NOS,Copec Voltex,150,San Bernardo,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:48:57+00:00,583,ENEL X,DISPONIBLE,OCUPADO,2026-09-03T23:48:19.243222+00:00,DC,60,CCS 2,Enel X - Espacio Urbano Los Andes ,Enel,(50-150],Los Andes,Valparaíso,Enel,Enel
