vista,empresa,power_type,sitios,conectores,kw
pse,TE MOBILITY SPA,,3,4,58
pse,Empresa Eléctrica de Casablanca S.A,,1,2,44
pse,EMPRESA ELÉCTRICA DE MAGALLANES S.A,,2,2,45
pse,Copec Voltex,AC,202,661,8376
pse,Enel,AC,125,526,5683
pse,Sin PSE informado,AC,111,219,3743
pse,Enerlink,AC,44,57,1343
pse,Chass,AC,2,34,448
pse,Chilquinta Energia S.A.,AC,6,10,264
pse,TE MOBILITY SPA,AC,3,4,58
pse,Empresa Eléctrica de Casablanca S.A,AC,1,2,44
pse,Copec Voltex,DC,108,266,40318
pse,Enel,DC,89,264,19272
pse,Enerlink,DC,62,132,10645
pse,Sin PSE informado,DC,33,94,13562
pse,Chass,DC,1,2,120
pse,EMPRESA ELÉCTRICA DE MAGALLANES S.A,DC,2,2,45
